check,passed,observed,expected,note
weather_stage_pass,True,PASS,PASS,
market_stage_pass,True,PASS,PASS,
trading_stage_pass,True,PASS,PASS,
synthesis_stage_pass,True,PASS,PASS,
all_historical_must_match_metrics_reproduce,True,1,1,
no_unexplained_benchmark_discrepancies,True,NO_UNEXPLAINED_DISCREPANCY,NO_UNEXPLAINED_DISCREPANCY,
sample_size_table_nonempty,True,5,>=5,
output_manifest_nonempty,True,164,>50,
manifest_hashes_valid,True,164,164,
claims_register_nonempty,True,17,>=10,
numbers_tex_created,True,True,True,
all_primary_generated_tables_exist,True,6,6,
thesis_figures_curated,True,6,>=4,
pending_status_expected,True,['2026-08-31'],[] or ['2026-08-31'],
